1.10-歷年各鄉鎮市區人口數  Population for Township and District since 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人 Unit : Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域別,,70年底,75年底,80年底,81年底,82年底,83年底,84年底,85年底,86年底,87年底,88年底,89年底,90年底,91年底,92年底,93年底,94年底,95年底,96年底,97年底,98年底,99年底,100年底,101年底,102年底,,,,
Locality,,"End of 
潭子區,Tanzih District,"47,323","52,905","62,325","64,194","67,009","71,204","75,351","79,230","82,321","84,828","87,405","89,956","90,987","93,083","94,220","94,834","95,462","96,450","97,416","98,456","99,677","100,481","101,781","103,516","104,471",,,,
大雅區,Daya District,"41,248","48,426","56,156","58,494","61,157","64,766","68,883","71,876","74,651","76,994","79,125","80,974","82,158","83,276","84,297","85,177","85,739","86,993","87,976","88,864","89,499","89,825","90,591","91,367","91,939",,,,
新社區,Sinshe District,"27,863","27,508","27,106","27,324","27,452","27,328","27,243","27,302","27,190","27,089","26,915","26,740","26,698","26,654","26,565","26,333","26,194","25,915","25,820","25,819","25,761","25,637","25,495","25,378","25,322",,,,
石岡區,Shihgang District,"15,066","15,498","15,110","15,293","15,449","15,370","15,399","15,297","15,444","15,573","15,382","15,264","15,290","15,419","15,457","15,650","15,887","16,109","16,167","16,162","16,146","15,976","15,792","15,763","15,636",,,,
外埔區,Waipu District,"24,788","26,726","27,890","28,401","28,834","29,172","29,666","30,034","30,228","30,724","31,126","31,449","31,515","31,597","31,389","31,253","31,428","31,630","31,888","31,986","32,007","32,051","32,005","31,797","31,845",,,,
大安區,Daan District,"21,258","21,145","20,723","20,810","21,044","21,023","21,069","21,150","21,263","21,329","21,370","21,360","21,435","21,420","21,289","21,099","20,964","20,817","20,787","20,605","20,417","20,308","20,081","19,910","19,720",,,,
烏日區,Wurih District,"48,178","52,320","57,940","58,760","58,788","59,951","60,507","61,958","63,069","63,860","64,037","64,668","65,088","65,186","65,413","65,765","66,083","67,065","67,445","67,970","68,373","68,709","69,224","70,068","70,624",,,,
大肚區,Dadu District,"37,326","43,056","49,064","50,132","50,989","51,773","52,106","52,603","53,211","53,780","54,389","54,685","54,973","55,061","55,180","55,566","55,722","55,886","55,932","55,945","55,874","55,725","55,739","55,863","55,995",,,,
龍井區,Longjing District,"41,119","44,282","49,640","51,482","53,148","54,857","56,639","58,889","60,833","62,893","65,092","66,895","67,624","68,486","68,878","69,582","70,372","71,510","71,961","73,041","73,934","74,474","74,682","75,138","75,664",,,,
霧峰區,Wufong District,"55,683","59,790","62,760","64,286","64,185","65,499","66,199","66,939","67,635","68,307","67,648","66,354","65,924","65,525","65,188","64,957","64,747","64,627","64,474","64,228","63,906","63,975","63,904","64,183","64,280",,,,
太平區,Taiping District,"75,953","99,672","122,923","129,182","135,103","143,015","148,810","153,693","158,145","162,615","165,524","166,923","167,907","168,892","169,969","170,363","170,712","171,139","171,628","172,363","172,389","172,965","174,284","176,594","178,870",,,,
大里區,Dali District,"77,908","101,136","132,039","138,498","152,261","156,040","159,896","163,336","165,902","169,239","171,940","174,930","176,860","178,998","181,308","184,164","186,818","189,945","192,437","194,550","196,056","197,716","200,588","203,239","204,846",,,,
和平區,Heping District,"11,054","10,322","10,162","10,162","10,734","10,662","11,019","10,883","11,015","11,018","11,172","11,121","11,317","11,324","11,309","11,181","11,058","10,960","10,880","10,803","10,730","10,743","10,683","10,556","10,589",,,,
臺南市,Tainan City,"1,564,360","1,649,573","1,725,402","1,741,289","1,759,493","1,771,997","1,788,612","1,799,940","1,814,062","1,822,102","1,831,783","1,842,337","1,848,243","1,852,664","1,856,461","1,860,591","1,862,918","1,866,727","1,870,061","1,873,005","1,875,406","1,873,794","1,876,960","1,881,645","1,883,208",,,,
新營區,Sinying District,"67,373","69,650","72,279","73,054","73,462","74,332","75,114","75,446","75,297","75,836","76,475","77,198","77,661","77,946","78,057","78,390","78,365","78,742","78,985","78,715","78,233","78,105","78,473","78,475","78,521",,,,
鹽水區,Yanshuei District,"31,917","30,023","28,972","28,949","29,057","29,344","29,372","29,462","29,269","29,209","29,141","28,947","28,829","28,815","28,682","28,488","28,397","28,115","27,872","27,585","27,321","27,160","26,891","26,695","26,426",,,,
白河區,Baihe District,"42,941","41,401","38,468","38,358","38,096","37,691","37,260","36,832","36,296","35,818","35,324","34,833","34,554","34,223","33,843","33,547","33,132","32,795","32,323","31,926","31,735","31,395","30,947","30,602","30,178",,,,
柳營區,Liouying District,"25,953","24,844","24,420","24,497","24,719","24,846","24,848","24,857","24,849","24,683","24,548","24,389","24,124","23,984","23,998","23,826","23,673","23,463","23,241","23,147","22,987","22,726","22,443","22,160","21,932",,,,
後壁區,Houbi District,"34,138","31,659","29,704","29,690","29,494","29,431","29,484","29,380","29,283","28,837","28,537","28,186","27,820","27,553","27,317","27,161","26,852","26,768","26,538","26,294","26,163","25,884","25,569","25,280","24,910",,,,
東山區,Dongshan District,"30,734","28,959","27,348","27,235","27,137","26,965","26,689","26,497","26,169","25,813","25,649","25,298","25,149","24,900","24,728","24,385","24,222","23,959","23,793","23,532","23,414","23,117","22,771","22,529","22,195",,,,
麻豆區,Madou District,"47,210","46,750","46,718","47,000","47,042","47,407","47,609","47,657","47,559","47,421","47,457","47,457","47,382","47,165","46,919","46,666","46,571","46,362","46,322","46,164","46,089","45,795","45,609","45,377","45,230",,,,
下營區,Siaying District,"30,329","29,767","29,145","29,114","28,957","28,870","28,736","28,584","28,471","28,311","28,121","28,032","27,833","27,672","27,525","27,340","27,161","26,906","26,793","26,612","26,411","26,119","25,803","25,612","25,333",,,,
六甲區,Lioujia District,"25,860","26,178","26,448","26,628","26,186","25,442","25,489","25,507","25,522","25,406","25,293","25,253","25,223","25,163","25,097","24,975","24,869","24,599","24,400","24,211","23,984","23,694","23,509","23,346","23,151",,,,
官田區,Guantian District,"25,303","24,443","24,030","24,205","24,411","24,164","24,159","24,148","24,160","24,061","23,916","23,958","23,553","23,358","23,271","23,234","23,149","22,825","22,642","22,529","22,455","22,212","21,965","21,912","21,823",,,,
大內區,Danei District,"14,972","13,824","12,923","12,978","12,976","12,879","12,693","12,599","12,448","12,363","12,175","12,116","11,978","11,926","11,812","11,611","11,557","11,458","11,342","11,205","11,093","10,899","10,674","10,537","10,408",,,,
佳里區,Jiali District,"49,982","52,560","54,764","55,002","55,129","56,099","56,733","56,959","57,172","57,116","57,403","57,980","58,257","58,567","58,858","58,855","58,811","59,216","59,244","59,329","59,464","59,269","59,155","59,289","59,372",,,,
學甲區,Syuejia District,"32,739","32,093","31,650","31,648","31,187","31,371","31,220","30,995","30,943","30,727","30,426","30,090","29,992","29,772","29,547","29,336","29,094","28,805","28,582","28,313","28,173","27,864","27,583","27,414","27,167",,,,
西港區,Sigang District,"23,003","23,098","23,808","24,116","24,483","24,961","25,397","25,752","25,917","26,049","26,226","26,222","26,236","26,130","26,087","25,982","25,960","25,809","25,542","25,415","25,357","25,200","25,069","25,034","24,914",,,,
七股區,Cigu District,"28,866","29,092","26,635","26,639","27,432","26,630","26,322","26,334","26,287","26,279","26,109","25,952","25,976","25,910","25,705","25,547","25,517","25,136","25,348","25,115","24,958","24,815","24,649","24,225","23,871",,,,
將軍區,Jiangjyun District,"27,412","26,132","24,846","24,636","24,434","24,430","24,383","24,141","24,092","23,923","23,825","23,569","23,440","23,215","23,049","22,813","22,711","22,421","22,103","21,935","21,798","21,579","21,261","21,005","20,808",,,,
北門區,Beimen District,"17,147","16,011","14,909","14,791","15,069","14,676","14,429","14,150","14,185","13,900","13,614","13,449","13,477","13,302","13,176","12,949","12,922","12,765","12,625","12,529","12,560","12,468","12,254","12,083","11,876",,,,
新化區,Sinhua District,"38,480","40,627","42,093","42,236","42,154","42,824","43,807","44,286","44,527","44,939","45,207","45,398","45,348","45,380","45,192","44,970","44,857","44,795","44,500","44,469","44,361","44,096","44,023","43,940","43,836",,,,
善化區,Shanhua District,"41,138","41,024","41,173","41,437","41,238","41,354","41,769","41,693","41,826","41,776","41,873","41,968","42,022","41,849","41,767","41,772","41,863","42,153","42,614","43,021","43,361","43,477","43,995","44,619","45,167",,,,
新市區,Sinshih District,"23,630","25,967","28,609","29,124","29,851","30,540","31,230","31,965","32,514","33,648","34,121","34,475","34,583","35,091","35,381","35,719","35,704","35,805","35,433","35,307","34,977","34,740","35,035","35,187","35,336",,,,
